N,TPB,iters,time_s,mnodes_per_s
1000,8,100,0.0014950400590896607,66887.83982209188
1000,16,100,0.0007772160172462464,128664.35814628466
1000,32,100,0.000766975998878479,130382.17642563308
2000,8,100,0.005073919773101807,78834.51412072103
2000,16,100,0.004002816200256347,99929.64452736633
2000,32,100,0.004033535957336426,99168.5717521514
4000,8,100,0.019293184280395507,82930.84110671234
4000,16,100,0.015093759536743164,106004.07380978046
4000,32,100,0.015226880073547363,105077.33641243899
8000,8,100,0.0747110366821289,85663.38099724025
8000,16,100,0.05952102279663086,107525.03400130193
8000,32,100,0.0599101448059082,106826.64882106656
